algo.asNode(nodeId).Airport_name,NO_OF_OUTGOING_EDGES
Belfast Intl,10.0
St Angelo,0.0
Belfast City,13.0
City of Derry,0.0
Birmingham,7.0
Coventry,0.0
Leicester,0.0
Gloucestershire,0.0
Wolverhampton,0.0
Kemble,0.0
Turweston,0.0
Wellesbourne Mountford,0.0
Manchester,12.0
Manchester Woodford,0.0
Chivenor,0.0
St Mawgan,2.0
Lyneham,0.0
Boscombe Down,0.0
Culdrose,0.0
St Athan,0.0
Yeovilton,0.0
Haverfordwest,0.0
Cardiff,2.0
Swansea,0.0
Bristol,5.0
Liverpool,1.0
Luton,5.0
Plymouth,0.0
Bournemouth,0.0
Southampton,6.0
Lasham,0.0
Shoreham,0.0
Biggin Hill,0.0
Gatwick,10.0
City,3.0
Farnborough,0.0
Chalgrove,0.0
Blackbushe,0.0
Heathrow,9.0
Southend,1.0
Lydd,0.0
Manston,0.0
Brough,0.0
Carlisle,0.0
Gamston,0.0
Blackpool,0.0
Humberside,2.0
Walney Island,0.0
Leeds Bradford,5.0
Warton,0.0
Hawarden,0.0
Newcastle,9.0
Durham Tees Valley Airport,1.0
Nottingham East Midlands,4.0
Llanbedr,0.0
Ternhill,0.0
Shawbury,0.0
Woodvale,0.0
Kirkwall,5.0
Sumburgh,5.0
Wick,2.0
Dyce,18.0
Inverness,10.0
Glasgow,23.0
Edinburgh,21.0
Islay,1.0
Prestwick,0.0
Benbecula,2.0
Scatsta,0.0
Dundee,1.0
Stornoway,5.0
Tiree,1.0
Leuchars,0.0
Lossiemouth,0.0
Cambridge,0.0
Conington,0.0
Norwich,4.0
Stansted,4.0
North Weald,0.0
Sheffield City,0.0
Cranfield,0.0
Exeter,4.0
Bristol Filton,0.0
Kidlington,0.0
Benson,0.0
Lakenheath,0.0
Mildenhall,0.0
Wattisham,0.0
Wyton,0.0
Fairford,0.0
Brize Norton,0.0
Odiham,0.0
Cosford,0.0
Northolt,0.0
Coningsby,0.0
Dishforth,0.0
Leeming,0.0
Church Fenton,0.0
Honington,0.0
Cottesmore,0.0
Scampton,0.0
Wittering,0.0
Linton On Ouse,0.0
Waddington,0.0
Topcliffe,0.0
Cranwell,0.0
Barkston Heath,0.0
Marham,0.0
Ashford,0.0
RNAS WATTON,0.0
ISLES OF SCILLY,0.0
Papa Stour Airport,0.0
Outer Skerries Airport,0.0
Foula Airport,0.0
Barra Airport,1.0
Anglesey Airport,0.0
Penzance Heliport,0.0
Land's End / St. Just Airport,0.0
Westray Airport,0.0
Lerwick / Tingwall Airport,0.0
Sanday Airport,0.0
Stronsay Airport,0.0
Papa Westray Airport,0.0
North Ronaldsay Airport,0.0
Fair Isle Airport,0.0
Eday Airport,0.0
Campbeltown Airport,1.0
Robin Hood Doncaster Sheffield Airport,0.0
Nottingham Airport,0.0
Unst Airport,0.0
Oban Airport,0.0
Sandown,0.0
Fort William Heliport,0.0
Portsmouth Airport,0.0
Aberdeen Railway Station,0.0
Glasgow Railway Station,0.0
Edinburgh Waverly Station,0.0
Newcastle Railway Station,0.0
Leeds Railway Station,0.0
Manchester Picadilly Station,0.0
Liverpool Railway Station,0.0
London Euston Railway Station,0.0
Colonsay Airport,0.0
Coll Airport,0.0
Tresco Heliport,0.0
Paddington Station,0.0
Glasgow Buchanan Bus Station,0.0
London Victoria Bus Station,0.0
London St Pancras,0.0
Wideawake Field,0.0
London Heliport,0.0
Southampton Cruise Terminal,0.0
White Waltham Airfield,0.0
Booker,0.0
Bembridge,0.0
Hatfield,0.0
St Pancras Railway Station,0.0
Oldbury,0.0
Shaftesbury-Compton Abbas Aerodrome,0.0
Ferry Port,0.0
Glasgow City Heliport,0.0
Scatsta Airport,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
North Sea,0.0
All Airports,0.0
Perth Scone Airport,0.0
Caernarfon Airport,0.0
London - Kings Cross,0.0
Stevenage Railway Station,0.0
Peterborough Railway Station,0.0
Whittlesford Parkway Rail Station,0.0
Oban Rail Station,0.0
Duxford Aerodrome,0.0
Woking,0.0
Rochester Airport,0.0
Euston Station,0.0
Rothera Research Station,0.0
Ellough,0.0
Brawdy RAF Airport,0.0
Redhill Aerodrome,0.0
Victoria Station,0.0
Enstone,0.0
North Sea,0.0
Port of Belfast,0.0
Stranraer Ferry Port,0.0
Stoke,0.0
Elstree,0.0
Sandtoft Airfield,0.0
Bourne Park,0.0
Newhaven Ferry Port,0.0
Aberdeen Harbour,0.0
Lerwick Harbour,0.0
Queen Street Station,0.0
Waterloo International,0.0
Central Station,0.0
Euston Station,0.0
Waterloo International,0.0